matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
810,0.00695746,0.00587142
811,0.00708457,0.00587811
812,0.00691967,0.00608162
813,0.00705232,0.00792271
814,0.00694901,0.0061964
815,0.00732113,0.00603484
816,0.00728954,0.0064443
817,0.00705221,0.006778
818,0.0071985,0.00597392
819,0.00958221,0.00609011
820,0.00707802,0.00657794
821,0.00709928,0.00645666
822,0.00726873,0.00607177
823,0.0101884,0.00646921
824,0.00914798,0.00622464
825,0.00669742,0.00596573
826,0.00703585,0.00597137
827,0.00736368,0.00929082
828,0.0086497,0.00649074
829,0.00712443,0.00810126
830,0.00817576,0.00621776
831,0.00732961,0.00616382
832,0.00743179,0.00865954
833,0.00948606,0.00736172
834,0.00958315,0.00637776
835,0.00757596,0.00625986
836,0.00847121,0.00636246
837,0.00697367,0.006412
838,0.00730382,0.00633671
839,0.00848176,0.00694473
840,0.00741966,0.00675729
841,0.00806028,0.006571
842,0.00760993,0.00663304
843,0.00763307,0.00678209
844,0.00853929,0.00714408
845,0.00827181,0.011027
846,0.0079558,0.0071292
847,0.00790531,0.0066662
848,0.00727379,0.0069067
849,0.00819327,0.00667149
850,0.00848437,0.00703175
851,0.00796487,0.00661963
852,0.00761995,0.00636702
853,0.00757998,0.00729708
854,0.0110607,0.00651887
855,0.00746899,0.00671125
856,0.00746818,0.0073983
857,0.00774191,0.00643994
858,0.00770972,0.0068419
859,0.00748975,0.00872724
860,0.00835725,0.00654575
861,0.00803592,0.00761388
862,0.00801806,0.00665135
863,0.00802231,0.00732581
864,0.00970952,0.00670258
865,0.00796796,0.00665423
866,0.00827311,0.00666701
867,0.0089426,0.00686242
868,0.0120171,0.00687041
869,0.00792769,0.00703844
870,0.00840416,0.00670077
871,0.00799016,0.00678193
872,0.00872922,0.00672951
873,0.00948896,0.00677533
874,0.00828249,0.00694015
875,0.00801226,0.00671733
876,0.00802861,0.00696077
877,0.0124071,0.00691284
878,0.00814067,0.00764137
879,0.00835904,0.00687871
880,0.0083203,0.00703862
881,0.00826406,0.00702322
882,0.0130991,0.00742108
883,0.00824547,0.00689009
884,0.0101248,0.00821
885,0.00862204,0.00734833
886,0.00825479,0.00687255
887,0.00836944,0.00723303
888,0.00846995,0.00792692
889,0.00904205,0.0070601
890,0.00836785,0.00691827
891,0.00797314,0.00743686
892,0.00930899,0.00698518
893,0.0100948,0.0078176
894,0.00868033,0.0076727
895,0.00902608,0.00799228
896,0.00887286,0.00753811
897,0.0087255,0.00753341
898,0.0103514,0.0073601
899,0.00873248,0.00723282
900,0.00875778,0.00737133
901,0.00879433,0.00874697
902,0.00876505,0.00751281
903,0.00833212,0.00774997
904,0.00861135,0.00724003
905,0.0103294,0.00723376
906,0.00840212,0.00889052
907,0.00815711,0.00803981
908,0.00913032,0.0102951
909,0.0135753,0.00787077
910,0.0106989,0.00743948
911,0.00896772,0.00737939
912,0.00897284,0.00824349
913,0.00881769,0.0119747
914,0.0091971,0.0124117
915,0.008627,0.0073624
916,0.00929091,0.00793169
917,0.00934791,0.0120003
918,0.0136298,0.0147505
919,0.00900073,0.00826834
920,0.00938837,0.00754639
921,0.00894579,0.0131773
922,0.00913195,0.00753728
923,0.00984222,0.00760413
924,0.00894888,0.00785175
925,0.00939614,0.00761704
926,0.0105007,0.00774015
927,0.00985465,0.00820765
928,0.00932525,0.00816509
929,0.00959353,0.00773528
930,0.00947997,0.00771481
931,0.0121214,0.00824015
932,0.0109008,0.00826512
933,0.0164006,0.0102439
934,0.0101351,0.00784643
935,0.00935561,0.00781703
936,0.00889069,0.0081994
937,0.0112867,0.00830064
938,0.0103307,0.00807561
939,0.00917216,0.00777066
940,0.00915989,0.00782652
941,0.00931105,0.0129733
942,0.00949307,0.0105708
943,0.0114532,0.00859143
944,0.0107484,0.00826276
945,0.014271,0.00883811
946,0.00973195,0.0086684
947,0.0100106,0.00813945
948,0.00962482,0.00794099
949,0.0134822,0.00838992
950,0.010552,0.0122697
951,0.0118278,0.00936085
952,0.0097115,0.00795791
953,0.00999557,0.00814614
954,0.00951055,0.0133963
955,0.0100698,0.00834859
956,0.00965017,0.0113981
957,0.010036,0.00843355
958,0.0114126,0.00813318
959,0.010225,0.00817618
960,0.00948991,0.00847193
961,0.0100549,0.00872451
962,0.0110885,0.00828785
963,0.00978689,0.00900276
964,0.00987264,0.00879041
